"numero","imagenJugador","nombreJugador","posicionJugador","nacionalidadesDelJugador"
"1","https://img.a.transfermarkt.technology/portrait/medium/423619-1697614474.jpg?lm=1","Luis Malagón","Portero","[""México""]"
"12","https://img.a.transfermarkt.technology/portrait/medium/508122-1683221446.jpg?lm=1","Jonathan Estrada","Portero","[""México""]"
"30","https://img.a.transfermarkt.technology/portrait/medium/71401-1668452646.jpg?lm=1","Rodolfo Cota","Portero","[""México""]"
"29","https://img.a.transfermarkt.technology/portrait/medium/699797-1672188822.jpg?lm=1","Ramón Juárez","Defensa central","[""México""]"
"4","https://img.a.transfermarkt.technology/portrait/medium/532389-1559028726.jpg?lm=1","Sebastián Cáceres","Defensa central","[""Uruguay""]"
"3","https://img.a.transfermarkt.technology/portrait/medium/687558-1634664983.jpg?lm=1","Israel Reyes","Defensa central","[""México""]"
"31","https://img.a.transfermarkt.technology/portrait/medium/209513-1718986146.jpg?lm=1","Igor Lichnovsky","Defensa central","[""Chile"",""Austria""]"
"14","https://img.a.transfermarkt.technology/portrait/medium/64134-1668453011.jpg?lm=1","Néstor Araújo","Defensa central","[""México"",""España""]"
"32","https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1","Miguel Vázquez","Defensa central","[""México""]"
"18","https://img.a.transfermarkt.technology/portrait/medium/408534-1579698129.png?lm=1","Cristian Calderón","Lateral izquierdo","[""México""]"
"26","https://img.a.transfermarkt.technology/portrait/medium/356099-1625844231.jpg?lm=1","Cristián Borja","Lateral izquierdo","[""Colombia""]"
"5","https://img.a.transfermarkt.technology/portrait/medium/572705-1558702093.jpg?lm=1","Kevin Álvarez","Lateral derecho","[""México""]"
"13","https://img.a.transfermarkt.technology/portrait/medium/400173-1666783494.jpg?lm=1","Alan Cervantes","Pivote","[""México""]"
"6","https://img.a.transfermarkt.technology/portrait/medium/60445-1618677798.JPG?lm=1","Jonathan dos Santos","Pivote","[""México"",""España""]"
"8","https://img.a.transfermarkt.technology/portrait/medium/261503-1667309052.jpeg?lm=1","Álvaro Fidalgo","Mediocentro","[""España"",""México""]"
"28","https://img.a.transfermarkt.technology/portrait/medium/370875-1718927223.jpg?lm=1","Érick Sánchez","Mediocentro","[""México""]"
"34","https://img.a.transfermarkt.technology/portrait/medium/959193-1661610389.jpeg?lm=1","Dagoberto Espinoza","Mediocentro","[""México""]"
"10","https://img.a.transfermarkt.technology/portrait/medium/249776-1691602983.jpg?lm=1","Diego Valdés","Mediocentro ofensivo","[""Chile""]"
"7","https://img.a.transfermarkt.technology/portrait/medium/465818-1646496779.jpg?lm=1","Brian Rodríguez","Extremo izquierdo","[""Uruguay""]"
"17","https://img.a.transfermarkt.technology/portrait/medium/351505-1735980931.jpg?lm=1","Álex Zendejas","Extremo derecho","[""Estados Unidos"",""México""]"
"11","https://img.a.transfermarkt.technology/portrait/medium/366143-1692736569.png?lm=1","Víctor Dávila","Delantero centro","[""Chile""]"
"21","https://img.a.transfermarkt.technology/portrait/medium/286339-1565165533.png?lm=1","Henry Martin","Delantero centro","[""México""]"
"27","https://img.a.transfermarkt.technology/portrait/medium/189410-1449133224.jpg?lm=1","Rodrigo Aguirre","Delantero centro","[""Uruguay""]"
"35","https://img.a.transfermarkt.technology/portrait/medium/797702-1676340579.jpg?lm=1","Esteban Lozano","Delantero centro","[""México"",""España""]"
"23","https://img.a.transfermarkt.technology/portrait/medium/491542-1693600544.JPG?lm=1","Kevin Mier","Portero","[""Colombia""]"
"1","https://img.a.transfermarkt.technology/portrait/medium/421920-1580829752.jpg?lm=1","Andrés Gudiño","Portero","[""México""]"
"30","https://img.a.transfermarkt.technology/portrait/medium/723386-1711615410.jpg?lm=1","Emmanuel Ochoa","Portero","[""México"",""Estados Unidos""]"
"5","https://img.a.transfermarkt.technology/portrait/medium/915155-1734275451.jpg?lm=1","Jesús Orozco Chiquete","Defensa central","[""México""]"
"4","https://img.a.transfermarkt.technology/portrait/medium/609255-1612186900.jpg?lm=1","Willer Ditta","Defensa central","[""Colombia""]"
"33","https://img.a.transfermarkt.technology/portrait/medium/284120-1694003846.JPG?lm=1","Gonzalo Piovi","Defensa central","[""Argentina"",""España""]"
"22","https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1","Raymundo Rubio","Defensa central","[""México""]"
"3","https://img.a.transfermarkt.technology/portrait/medium/854454-1709932126.jpg?lm=1","Omar Campos","Lateral izquierdo","[""México""]"
"26","https://img.a.transfermarkt.technology/portrait/medium/508257-1565160438.png?lm=1","Carlos Vargas","Lateral izquierdo","[""México""]"
"2","https://img.a.transfermarkt.technology/portrait/medium/356044-1668453178.jpg?lm=1","Jorge Sánchez","Lateral derecho","[""México""]"
"6","https://img.a.transfermarkt.technology/portrait/medium/602324-1629741414.jpg?lm=1","Érik Lira","Pivote","[""México""]"
"19","https://img.a.transfermarkt.technology/portrait/medium/534620-1668453921.jpg?lm=1","Carlos Rodríguez","Pivote","[""México""]"
"34","https://img.a.transfermarkt.technology/portrait/medium/944071-1681670096.jpg?lm=1","Leonardo Sámano","Centrocampista","[""México""]"
"10","https://img.a.transfermarkt.technology/portrait/medium/993722-1670615757.jpg?lm=1","Andrés Montaño","Mediocentro","[""México""]"
"15","https://img.a.transfermarkt.technology/portrait/medium/221805-1565169333.png?lm=1","Ignacio Rivero","Mediocentro","[""Uruguay""]"
"17","https://img.a.transfermarkt.technology/portrait/medium/690469-1672516415.jpg?lm=1","Amaury García","Mediocentro","[""México""]"
"32","https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1","Cristian Jiménez","Mediocentro","[""México""]"
"7","https://img.a.transfermarkt.technology/portrait/medium/431475-1709932096.jpg?lm=1","Mateusz Bogusz","Mediocentro ofensivo","[""Polonia""]"
"14","https://img.a.transfermarkt.technology/portrait/medium/371171-1580830356.jpg?lm=1","Alexis Gutiérrez","Mediocentro ofensivo","[""México""]"
"8","https://img.a.transfermarkt.technology/portrait/medium/181706-1582877741.jpg?lm=1","Lorenzo Faravelli","Mediocentro ofensivo","[""Argentina"",""Ecuador""]"
"29","https://img.a.transfermarkt.technology/portrait/medium/553422-1621170208.jpg?lm=1","Carlos Rotondi","Extremo izquierdo","[""Argentina""]"
"194","https://img.a.transfermarkt.technology/portrait/medium/1118326-1733785214.jpg?lm=1","Amaury Morales","Extremo izquierdo","[""México""]"
"35","https://img.a.transfermarkt.technology/portrait/medium/689837-1672190373.jpg?lm=1","Luis Gutiérrez","Extremo izquierdo","[""México"",""Estados Unidos""]"
"18","https://img.a.transfermarkt.technology/portrait/medium/769063-1695024330.jpg?lm=1","Luka Romero","Extremo derecho","[""Argentina"",""España""]"
"11","https://img.a.transfermarkt.technology/portrait/medium/234850-1709364510.jpg?lm=1","Georgios Giakoumakis","Delantero centro","[""Grecia""]"
"21","https://img.a.transfermarkt.technology/portrait/medium/259930-1583507513.jpg?lm=1","Gabriel Fernández","Delantero centro","[""Uruguay""]"
"9","https://img.a.transfermarkt.technology/portrait/medium/160700-1544359275.png?lm=1","Ángel Sepúlveda","Delantero centro","[""México""]"
"18","https://img.a.transfermarkt.technology/portrait/medium/286415-1666815446.jpg?lm=1","Pau López","Portero","[""España""]"
"22","https://img.a.transfermarkt.technology/portrait/medium/236710-1580380474.jpg?lm=1","Luis García","Portero","[""México""]"
"6","https://img.a.transfermarkt.technology/portrait/medium/671479-1683117674.JPG?lm=1","Federico Pereira","Defensa central","[""Uruguay"",""Italia""]"
